れいこく	冷酷 (na-adj) — 冷酷
れいせい	冷静 (na-adj) — 冷静
れいこう	励行 (verb-noun) — 厉行; 认真执行
れっか	劣化 (verb-noun) — 劣化
れっせい	劣勢 (na-adj) — 劣势
れんけい	連携 (verb-noun) — 联动
れんけいきょうか	連携強化 (verb-noun) — 强化联动
れんたい	連帯 (verb-noun) — 连带; 团结
れんけつ	連結 (verb-noun) — 连接
ろこつ	露骨 (na-adj) — 露骨
ろんじゅつ	論述 (verb-noun) — 论述
わかい	和解 (verb-noun) — 和解
わこく	倭国 (noun) — 倭国（古称）
わほう	話法 (noun) — 话法; 引语方式
わきまえる	弁える (v1) — 分辨; 明白分寸
あくじゅんかん	悪循環 (noun) — 恶性循环
あくよう	悪用 (verb-noun) — 滥用
あんたい	安泰 (na-adj) — 安泰
あんじ	暗示 (verb-noun) — 暗示
いきごみ	意気込み (noun) — 干劲
いこう	意向 (noun) — 意向
いこうちょうさ	意向調査 (noun) — 意向调查
いぞん	異存 (noun) — 异议
いじゅう	移住 (verb-noun) — 移居
いでん	遺伝 (verb-noun) — 遗传
いっかん	一貫 (verb-noun) — 一贯
いつわ	逸話 (noun) — 轶事
いなずま	稲妻 (noun) — 闪电
いんが	因果 (noun) — 因果
いんしゅう	因習 (noun) — 因循; 旧习
いんそつ	引率 (verb-noun) — 带队
いんしょう	引証 (verb-noun) — 引证
いんしょくてん	飲食店 (noun) — 饮食店
いんしつ	陰湿 (na-adj) — 阴险; 阴湿
うわん	右腕 (noun) — 得力助手
うえん	迂遠 (na-adj) — 迂远; 曲折
ゆうけい	有形 (na-adj) — 有形
ゆうしきしゃ	有識者 (noun) — 有识之士
ゆうぐう	優遇 (verb-noun) — 优待
ゆうわ	融和 (verb-noun) — 融洽; 和解
ゆうよ	猶予 (verb-noun) — 宽限; 缓期
よじょう	余剰 (noun) — 剩余
よねん	余念 (noun) — 杂念; 牵挂
よくあつ	抑圧 (verb-noun) — 压抑
らっか	落下 (verb-noun) — 落下
らくせい	落成 (verb-noun) — 落成
らくよう	落葉 (noun) — 落叶
りくつ	理屈 (noun) — 道理; 理由
りせい	理性 (noun) — 理性
りろせいぜん	理路整然 (adv) — 条理分明
うらはら	裏腹 (na-adj) — 相反; 表里不同
りっきょう	陸橋 (noun) — 天桥
りゃくご	略語 (noun) — 缩略词
りょうが	凌駕 (verb-noun) — 凌驾
りんじ	臨時 (na-adj) — 临时
りんじん	隣人 (noun) — 邻人
るいしん	累進 (verb-noun) — 累进
れいさい	零細 (na-adj) — 零散; 微小
れいたん	冷淡 (na-adj) — 冷淡
ろうきゅう	老朽 (na-adj) — 老朽; 破旧
ろうえい	漏洩 (verb-noun) — 泄漏
ろうにん	浪人 (noun) — 浪人; 待业生
ろうほう	朗報 (noun) — 喜讯
ろうむ	労務 (noun) — 劳务
ろうりょく	労力 (noun) — 劳力
いじる	弄る (v1) — 摆弄; 抠
ろうじょう	籠城 (verb-noun) — 困守
ろんてん	論点 (noun) — 论点
ろんぱ	論破 (verb-noun) — 驳倒
なごやか	和やか (na-adj) — 和气; 平静
わこう	倭寇 (noun) — 倭寇
わじゅつ	話術 (noun) — 说话技巧
わんがん	湾岸 (noun) — 海湾沿岸
うでまえ	腕前 (noun) — 本事; 手艺
あんのじょう	案の定 (adv) — 果然
あんもくち	暗黙知 ( noun) — 默会知识
いと	意図 (verb-noun) — 意图
いちにん	一任 (verb-noun) — 委任
いっせつ	一節 (noun) — 一段; 一节
いつだつてき	逸脱的 (na-adj) — 越轨的
のみこむ	飲み込む (v1) — 吞下; 理解
いんぺい	隠蔽 (verb-noun) — 隐瞒; 隐蔽
みぎかたあがり	右肩上がり (na-adj) — 呈上升趋势
うてんけっこう	雨天決行 (noun) — 风雨无阻
ゆうきてき	有機的 (na-adj) — 有机地
ゆうけいむけい	有形無形 (noun) — 有形无形
ゆうい	優位 (na-adj) — 优势
ゆうぼう	有望 (na-adj) — 有希望
よけん	予見 (verb-noun) — 预见
よびひ	予備費 (noun) — 预备费
よは	余波 ( noun) — 余波; 影响
よくし	抑止 (verb-noun) — 威慑; 抑制
らいれき	来歴 (noun) — 来历
らくご	落伍 (verb-noun) — 落伍
らんよう	濫用 (verb-noun) — 滥用
りし	利子 (noun) — 利息
りた	利他 (na-adj) — 利他
りてん	利点 (noun) — 优点
りょうきょくたん	両極端 (noun) — 两极端
りんしょう	臨床 (noun) — 临床
