id,kanji,reading,pos,meaning_zh
401,描写,びょうしゃ,verb-noun,描写
402,秒針,びょうしん,noun,秒针
403,病巣,びょうそう,noun,病灶
404,品位,ひんい,noun,品位
405,品質,ひんしつ,noun,品质
406,貧血,ひんけつ,noun,贫血
407,頻繁,ひんぱん,na-adj,频繁
408,不況,ふきょう,noun,不景气
409,不均衡,ふきんこう,na-adj,不均衡
410,不可逆,ふかぎゃく,na-adj,不可逆
411,不可避,ふかひ,na-adj,不可避免
412,不確実,ふかくじつ,na-adj,不确定
413,不急,ふきゅう,na-adj,不紧急
414,不偏,ふへん,na-adj,不偏不倚
415,不服,ふふく,verb-noun,不服
416,付帯,ふたい,verb-noun,附带
417,付与,ふよ,verb-noun,赋予
418,負傷,ふしょう,verb-noun,负伤
419,浮動,ふどう,verb-noun,浮动
420,普及,ふきゅう,verb-noun,普及
421,腐食,ふしょく,verb-noun,腐蚀
422,婦人,ふじん,noun,妇人
423,譜面,ふめん,noun,谱子
424,武器,ぶき,noun,武器
425,舞台,ぶたい,noun,舞台
426,部位,ぶい,noun,部位
427,分散,ぶんさん,verb-noun,分散
428,分担,ぶんたん,verb-noun,分担
429,分離,ぶんり,verb-noun,分离
430,文語,ぶんご,noun,文语
431,聞き取り,ききとり,noun,听力
432,併記,へいき,verb-noun,并记
433,併発,へいはつ,verb-noun,并发
434,米価,べいか,noun,米价
435,壁面,へきめん,noun,壁面
436,偏在,へんざい,verb-noun,偏在
437,偏差,へんさ,noun,偏差
438,補償,ほしょう,verb-noun,补偿
439,捕捉,ほそく,verb-noun,捕捉
440,保全,ほぜん,verb-noun,保全
441,保全性,ほぜんせい,noun,可靠性（保全性）
442,保守,ほしゅ,na-adj,保守
443,保障,ほしょう,verb-noun,保障
444,保持,ほじ,verb-noun,保持
445,募集,ぼしゅう,verb-noun,募集
446,母体,ぼたい,noun,母体
447,母語,ぼご,noun,母语
448,没入,ぼつにゅう,verb-noun,沉浸
449,没頭,ぼっとう,verb-noun,埋头; 专注
450,没落,ぼつらく,verb-noun,没落
451,翻意,ほんい,verb-noun,改变主意
452,凡例,はんれい,noun,凡例
453,万別,ばんべつ,noun,千差万别
454,満遍なく,まんべんなく,adv,全面地; 平均地
455,密猟,みつりょう,verb-noun,偷猎
456,密着,みっちゃく,verb-noun,密切联系; 贴紧
457,無為,むい,na-adj,无为
458,無害,むがい,na-adj,无害
459,無償,むしょう,na-adj,无偿
460,無能,むのう,na-adj,无能
461,無謀,むぼう,na-adj,鲁莽
462,無用,むよう,na-adj,无用; 多余
463,矛先,ほこさき,noun,矛头
464,無二,むに,na-adj,无二; 唯一
465,名残,なごり,noun,余韵; 依恋
466,明快,めいかい,na-adj,明快
467,明白,めいはく,na-adj,明白
468,名誉,めいよ,noun,名誉
469,滅亡,めつぼう,verb-noun,灭亡
470,免責,めんせき,verb-noun,免责
471,面影,おもかげ,noun,面影; 旧貌
472,面目,めんもく,noun,面子; 面目
473,網膜,もうまく,noun,视网膜
474,目撃,もくげき,verb-noun,目击
475,目録,もくろく,noun,目录
476,目論見,もくろみ,noun,打算; 计划
477,問屋,とんや,noun,批发商
478,厄介,やっかい,na-adj,麻烦
479,野党,やとう,noun,在野党; 反对党
480,野蛮,やばん,na-adj,野蛮
481,役職,やくしょく,noun,职务
482,躍進,やくしん,verb-noun,跃进
483,由来,ゆらい,verb-noun,由来
484,遊説,ゆうぜい,verb-noun,巡回演说
485,雄大,ゆうだい,na-adj,雄伟
486,融通,ゆうずう,verb-noun,通融; 变通
487,要請,ようせい,verb-noun,要请; 请求
488,要衝,ようしょう,noun,要冲
489,抑揚,よくよう,noun,抑扬顿挫
490,予備,よび,na-adj,预备; 备用
491,余白,よはく,noun,空白; 页边
492,頼り,たより,noun,依靠; 线索
493,落差,らくさ,noun,差距
494,落胆,らくたん,verb-noun,沮丧
495,乱暴,らんぼう,na-adj,粗暴
496,利潤,りじゅん,noun,利润
497,略奪,りゃくだつ,verb-noun,掠夺
498,臨界,りんかい,noun,临界
499,輪郭,りんかく,noun,轮廓
500,累積,るいせき,verb-noun,累积
